symbol,name,display_name
# מדדים (index)
^GSPC,אס אנד פי חמש מאות,הָאֵס אֵנְד פִּי חָמֵש מֵאוֹת
^GSPC,אס אנד פי 500,הָאֵס אֵנְד פִּי חָמֵש מֵאוֹת
^GSPC,S&P 500,הָאֵס אֵנְד פִּי חָמֵש מֵאוֹת
^NDX,נסדאק,הָנָסְדָק
^DJI,דאו ג'ונס,הָדָאוֹ ג'וֹנְס
TA35.TA,תל אביב שלושים וחמש,תֵל אָבִיב שְלוֹשִים וֵחָמֵש
^TA125.TA,תל אביב מאה עשרים וחמש,תֵל אָבִיב מֵאָה עֵשְׂרִים וֵחָמֵש
^N225,ניקיי היפני,נִיקֵיי הָיָפָּנִי
^N225,ניקיי ,נִיקֵיי הָיָפָּנִי
^GDAXI,דקס הגרמני,דָקְס הָגֵרְמָנִי
^GDAXI,דקס ,דָקְס הָגֵרְמָנִי

# סקטורים (sector)
XLK,טכנולוגיה,טֵכְנוֹלוֹגִיָה
XLV,בריאות,בְּרִיאוּת
XLF,פיננסים,פִינָנְסִים
XLY,מוצרי צריכה מחזוריים,מוּצָרֵי צְרִיכָה מָחְזוֹרִיִים
XLP,מוצרי צריכה בסיסיים,מוּצָרֵי צְרִיכָה בְּסִיסִיִים
XLE,אנרגיה,אֵנֵרְגִיה
XLI,תעשייה,תָעָסִיָיה
XLU,שירותים ציבוריים,שֵׁירוּתִים צִיבּוּרִיִים
XLRE,נדל"ן,נָדְלָן
XLC,תקשורת,תִקְשוֹרֵת
XLB,חומרי גלם,חוֹמְרֵי גֵלֵם

# קריפטו (crypto)
BTC-USD,ביטקוין,הָבִּיטְקוֹיְן
ETH-USD,אתריום,הָאִתֵרְיוּם
SOL-USD,סולאנה,סוֹלָאנָה
XRP-USD,אקס אר פי,אֵקְס אָר פִּי
TRUMP35336-USD,טראמפ,טְרָמְפְּ
BNB-USD,ביננסקוין,בָּיְנָאנְסקוֹיְן
USDT-USD,תתר,תֵתֵר

# סחורות (commodity)
GC=F,זהב,הָזָהָב
SI=F,כסף,הָכֵּסֵף
CL=F,נפט,הָנֵפְט
NG=F,גז טבעי,גָז טִבְעִי
HG=F,נחושת,הָנֵחוֹשֵת

# מט"ח (forex)
ILS=X,דולר אמריקאי,דוֹלָר אָמֵרִיקָאִי
EURILS=X,יורו,יוּרוֹ
GBPILS=X,לירה סטרלינג,לּירָה סְטֵרְלִינְג
JPYILS=X,ין יפני,יֵן יָפָּנִי

# מניות
AAPL,אפל,אַפֵּּל
MSFT,מייקרוסופט,מַיְקְרוֹסוֹפְט
GOOGL,גוגל,גוּגֶל
AMZN,אמזון,אַמָזוֹן
NVDA,אנבידיה,אֵנְבִידְיָה
META,מטא,מֵטָא
TSLA,טסלה,טֶסְלָה
AMD,איי-אם-די,אֵי־אֵם־דִי
INTC,אינטל,אִינְטֶל
NFLX,נטפליקס,נֶטְפְלִיקְס
DIS,דיסני,דִּיסְנִי
UBER,אובר,אוּבֶּר
ABNB,איירבנבי,אֵיֶירְבִּנְבִּי
PYPL,פייפאל,פֵּייפָּאל
ADBE,אדובי,אֲדוֹבִּי
CRM,סיילספורס,סֵיילְסְפוֹרְס
SHOP,שופיפיי,שוֹפִיפַּיי
SNOW,סנאופלייק,סְנוֹאוּפְלֵיְק
PEP,פפסיקו,פֶּפְּסִיקוֹ
KO,קוקה-קולה,קוֹקָה־קוֹלָה
WMT,וולמארט,ווֹלְמָארְט
COST,קוסטקו,קוֹסְקוֹ
NKE,נייקי,נַייקִי
SBUX,סטארבקס,סְטָארְבָּקְס
JPM,ג'י-פי-מורגן,גֵ'י־פִי־מוֹרְגֵן
BAC,בנק אוף אמריקה,בָּנְק אוֹף אָמֶרִיקָה
GS,גולדמן זאקס,גּוֹלְדְמַן זַאְקְס
WFC,וולס פארגו,וֵולְס פַּארְגוֹ
